product_name,cas_number,concentration
ACETIC ACID WATER 3ML,64-19-7,3ML
BACTERIOSTATIC WATER 3ML,7732-18-5,3ML
BACTERIOSTATIC WATER 10ML,7732-18-5,10ML
BENZYL ALCOHOL 3ML,100-51-6,3ML
BENZYL ALCOHOL 10ML,100-51-6,10ML
5-AMINO-1MQ,42437-96-7,5MG
5-AMINO-1MQ,42437-96-7,10MG
AOD-9604,221231-10-3,5MG
AOD-9604,221231-10-3,10MG
CAGRILINTIDE,1415456-99-3,5MG
CAGRILINTIDE,1415456-99-3,10MG
CAGRILINTIDE + SEMAGLUTIDE,1415456-99-3,5MG
CAGRILINTIDE + SEMAGLUTIDE,1415456-99-3,10MG
MAZDUTIDE,2259884-03-0,5MG
MAZDUTIDE,2259884-03-0,10MG
RETATRUTIDE,2381089-83-2,5MG
RETATRUTIDE,2381089-83-2,10MG
RETATRUTIDE,2381089-83-2,20MG
RETATRUTIDE,2381089-83-2,50MG
RETATRUTIDE,2381089-83-2,100MG
SEMAGLUTIDE,910463-68-2,5MG
SEMAGLUTIDE,910463-68-2,10MG
SERMORELIN,86168-78-7,5MG
SERMORELIN,86168-78-7,10MG
SURVODUTIDE,2805997-46-8,10MG
TESAMORELIN,218949-48-5,5MG
TESAMORELIN,218949-48-5,10MG
TESAMORELIN,218949-48-5,20MG
TIRZEPATIDE,2023788-19-2,5MG
TIRZEPATIDE,2023788-19-2,10MG
TIRZEPATIDE,2023788-19-2,20MG
TIRZEPATIDE,2023788-19-2,50MG
BPC-157,137525-51-0,5MG
BPC-157,137525-51-0,10MG
BPC-157 (CAPSULES),137525-51-0,500MCG
TB-500,77591-33-4,5MG
TB-500,77591-33-4,10MG
BPC-157 + TB-500,137525-51-0,10MG
BPC-157 + TB-500,137525-51-0,20MG
CU + TB-500 + BPC-157 + KPV,89030-95-5,80MG
GLOW BPC-157 + TB-500 + GHK-CU,137525-51-0,30MG
GLOW BPC-157 + TB-500 + GHK-CU,137525-51-0,85MG
GLOW TB-500 + BPC-157 + GHK-CU,137525-51-0,70MG
CJC-1295 WITH DAC,863288-34-0,5MG
CJC-1295 WITH DAC,863288-34-0,10MG
CJC-1295 WITHOUT DAC,446262-90-4,5MG
CJC-1295 WITHOUT DAC,446262-90-4,10MG
CJC-1295 WITHOUT DAC / IPAMORELIN BLEND,446262-90-4,10MG
CJC-1295 WITHOUT DAC / SERMORELIN / IPAMORELIN BLEND,446262-90-4,5MG
GHRP-2 ACETATE,158861-67-7,5MG
GHRP-2 ACETATE,158861-67-7,10MG
GHRP-6 ACETATE,87616-84-0,5MG
GHRP-6 ACETATE,87616-84-0,10MG
HEXARELIN ACETATE,140703-51-1,2MG
HEXARELIN ACETATE,140703-51-1,5MG
IPAMORELIN,170851-70-4,5MG
IPAMORELIN,170851-70-4,10MG
GONADORELIN,33515-09-2,2MG
GONADORELIN,33515-09-2,10MG
HCG,9002-61-3,5000 IU
HCG,9002-61-3,10000 IU
HGH 191AA,12629-01-5,10 IU
HGH 191AA,12629-01-5,12 IU
HGH 191AA,12629-01-5,15 IU
HGH 191AA,12629-01-5,24 IU
HGH 191AA,12629-01-5,36 IU
HMG,9002-68-0,75 IU
IGF-1 LR3,946870-92-4,0.1MG
IGF-1 LR3,946870-92-4,1MG
MGF,80214-83-1,2MG
PEG-MGF,108174-48-7,2MG
ADIPOTIDE,859216-15-2,2MG
ADIPOTIDE,859216-15-2,5MG
AICAR,2627-69-2,50MG
MOTS-C,1627580-64-6,5MG
MOTS-C,1627580-64-6,10MG
MOTS-C,1627580-64-6,20MG
MOTS-C,1627580-64-6,40MG
SS-31,736992-21-5,10MG
SS-31,736992-21-5,25MG
SS-31,736992-21-5,50MG
GHK-CU,89030-95-5,50MG
GHK-CU,89030-95-5,100MG
MELANOTAN 1,75921-69-6,10MG
MELANOTAN 2,121062-08-6,10MG
SNAP-8,868844-74-0,10MG
ARA-290,1208243-50-8,10MG
BREMELANOTIDE,189691-06-3,5MG
BREMELANOTIDE,189691-06-3,10MG
DERMORPHIN,77614-16-5,5MG
DSIP,62568-57-4,5MG
DSIP,62568-57-4,10MG
DSIP,62568-57-4,15MG
EPITHALON,307297-39-8,10MG
EPITHALON,307297-39-8,20MG
EPITHALON,307297-39-8,50MG
FOXO4-DRI,2460055-10-9,10MG
KISSPEPTIN-10,373566-79-9,5MG
KISSPEPTIN-10,373566-79-9,10MG
KPV,67727-97-3,5MG
KPV,67727-97-3,10MG
LL-37,154947-66-7,5MG
NAD,53-84-1,100MG
NAD,53-84-1,500MG
NAD,53-84-1,1000MG
OXYTOCIN ACETATE,50-56-6,2MG
OXYTOCIN ACETATE,50-56-6,5MG
OXYTOCIN ACETATE,50-56-6,10MG
SELANK,129954-34-3,5MG
SELANK,129954-34-3,10MG
SEMAX,80714-61-0,5MG
SEMAX,80714-61-0,10MG
THYMALIN,63958-90-7,10MG
THYMOSIN ALPHA-1,62304-98-7,5MG
THYMOSIN ALPHA-1,62304-98-7,10MG
VIP,37221-79-7,10MG
PINEALON,175175-23-2,10MG
HUMANIN,330936-69-1,10MG
ADAMAX,2920938-90-3,10MG
DIHEXA,1401708-83-5,10MG
CEREBROLYSIN,12656-61-0,10MG
B-12,68-19-9,10MG
GLUTATHIONE,70-18-8,600MG
GLUTATHIONE,70-18-8,1500MG
L-CARNITINE,541-15-1,600MG (10ML)
LEMON BOTTLE 10ML,83-88-5,10ML
LIPO-C 10ML,67-48-1,10ML
MK-677,159752-10-0,5MG
L-GLU,56-85-9,100MG
PINEALON (CAPSULES),175175-23-2,100 COUNT
